"ord"	"code"	"category"	"M.Valence"	"M.Arousal"	"M.Anger"	"M.Anxiety"	"M.Compassion"	"M.Guilt"	"M.Hope"	"SD.Valence"	"SD.Arousal"	"SD.Anger"	"SD.Anxiety"	"SD.Compassion"	"SD.Guilt"	"SD.Hope"	"n"
50	"ANG21"	"ANG"	43.16	53.98	54.33	52.65	48.4	44.28	39.07	29.07	29.02	29.99	28.3	30.09	28.75	28.71	43
51	"ANG22"	"ANG"	41.55	61.02	57.33	55.2	66.17	42.02	46.02	31.03	28.01	27.66	32.03	24.15	30.49	26.73	40
52	"ANG23"	"ANG"	50.4	45	53.79	48.67	50.24	46	41.38	25.52	26.7	24.09	25.49	24.99	29.74	27.44	42
53	"ANG24"	"ANG"	35	59.91	65.73	67.89	60.64	58.98	37.36	31.24	28.99	26.8	23.47	28.26	26.34	27.37	44
54	"ANG25"	"ANG"	36.44	53.11	71.98	62.93	40.11	40.42	36.89	34.38	29.34	27.28	26.55	31.43	31.82	32.69	45
55	"ANG26"	"ANG"	52.04	47.98	50.56	51.94	49.29	41.81	47.21	27.4	23.53	27.85	27.22	25.9	26.09	25.9	48
56	"ANG27"	"ANG"	48.86	49.97	48.46	50.32	55.65	40.16	39.14	29.15	30.11	29.14	29.63	28.41	32.59	27.09	37
57	"ANG28"	"ANG"	52.88	51.22	53.04	47.94	52.73	38.86	47.02	29.83	27.62	26.74	30.23	30.2	30.94	32.74	49
58	"ANG29"	"ANG"	51.78	56.73	47.78	57.32	64.15	47.54	47.68	26.58	28.3	31.27	30.86	28.1	28.74	29.18	41
59	"ANG30"	"ANG"	50.31	48.89	53.73	50.67	45.49	38.4	51.04	29.74	28.18	30.06	31.41	30.62	31.57	30.66	45
60	"HOP1"	"HOP"	67.28	56.47	39.12	44.98	53.02	39.81	58.33	22.68	27.18	33.8	30.14	25.65	32.36	24.6	43
61	"HOP2"	"HOP"	59.02	49.52	44.15	40.37	42.46	35.74	52.96	26.35	25.24	28.83	29.07	28.91	27.99	28.54	46
62	"HOP3"	"HOP"	58.36	53.61	48.11	49.86	51	45.52	53.91	27.32	26.56	30.4	30.53	27.58	27.31	29.57	44
63	"HOP4"	"HOP"	67.42	60.2	36.42	39.02	52.29	39.64	62.8	22.31	24.58	29.8	29.5	27.02	30.49	25.95	45
64	"HOP5"	"HOP"	68.23	54.3	39.3	37.68	50.47	34.81	65.98	25.38	24.76	31.48	29.93	26.33	28.6	26.67	47
65	"HOP6"	"HOP"	54.95	54.81	47.72	45.67	48.7	45.51	49.81	26.53	25.09	26.89	28.81	30.51	28.09	27.85	43
66	"HOP7"	"HOP"	63.6	49.02	39.53	38.98	51.56	42.14	54.6	20.93	25.04	27.64	26.9	26.99	28.26	26.3	43
67	"HOP8"	"HOP"	62.49	50.64	42.13	41.04	47.89	37.28	56.19	24.72	25.57	31.37	29.28	27.03	27.37	25.23	47
68	"HOP9"	"HOP"	64.51	55.67	36.14	37.02	52.93	39.44	64.95	21.91	21.71	29.21	29.65	24.71	30.22	22.2	43
69	"HOP10"	"HOP"	62.2	57.53	38.89	41.49	50.62	41.84	57.18	26.54	23.77	27.82	26.98	29.01	29.25	27.18	45
70	"HOP11"	"HOP"	69.85	58.73	33.22	38.29	55	39.15	65.85	19.81	25.18	29.35	30.36	27.43	28.99	26.31	41
71	"HOP12"	"HOP"	60	55.2	40.22	40.61	52.24	37.9	53.67	24.9	27.32	31.4	31.26	26.79	30.29	28.87	49
72	"HOP13"	"HOP"	62.43	53.96	37.33	36.96	49.33	35.54	54.5	25.86	27.16	31.11	33.59	31.27	29.51	30.33	46
73	"HOP14"	"HOP"	61.51	48.23	38.98	37.35	42.88	38.98	51.93	19.72	23.69	27.65	29.32	25.87	23.6	24.55	43
74	"HOP15"	"HOP"	67.56	63.66	38.8	38.98	52.88	39.42	66.06	24.3	24.52	30.77	32.93	29.3	30.5	23.88	50
75	"HOP16"	"HOP"	67.2	52.76	40.12	37.24	52	38.14	62.14	22.53	26.74	31.86	31.06	28.64	31.57	27.92	51
76	"HOP17"	"HOP"	66.89	51.8	26.73	29.07	43.23	30.8	62.32	26.7	27.54	29.88	31.63	32.99	30.54	30.82	44
77	"HOP18"	"HOP"	62	56.43	44.53	40.45	52.64	39.87	62.83	25.23	23.14	29.36	30.51	24.07	31.04	26.87	47
78	"HOP19"	"HOP"	53.18	43.82	38.21	38.42	39	35.95	46.47	26.73	28.83	30.84	31.29	26.06	26.99	29.9	38
79	"HOP20"	"HOP"	61.77	55	42.57	40.87	52.34	41	54.36	24.99	26.67	30.2	29.76	29.24	29.26	27.79	47
80	"HOP21"	"HOP"	64.38	55.64	39	40.6	49.78	44.33	59.22	22.93	24.54	29.41	30.16	28.52	31.05	26.13	45
81	"HOP22"	"HOP"	73.13	57.98	38.44	38.8	52.38	40.07	67.8	22.21	25.67	31.06	29.35	27.52	28.55	25.91	45
82	"HOP23"	"HOP"	69.67	56.82	38.1	38.77	57.23	41.69	64.33	21.56	26.13	32	31.83	27.05	32.31	25.68	39
83	"HOP24"	"HOP"	57.3	54.88	33.88	38.7	50	37.83	52.55	26.96	30.77	25.73	28.3	29.94	26.74	31.47	40
84	"HOP25"	"HOP"	61.53	57.96	48.42	47.93	51.87	46.67	56.84	26.58	24.11	29.93	29.84	29.61	30.09	27.15	45
85	"HOP26"	"HOP"	70.35	57.51	35.4	37.07	57.72	37.23	65.16	22.78	28.99	31.95	30.75	29.52	31.28	24.3	43
86	"HOP27"	"HOP"	74.94	63.75	27.85	31.5	52.79	35.21	72.81	19.43	24.58	26.54	27.66	25.61	28.81	22.94	48
87	"HOP28"	"HOP"	64.8	57.36	44	37.78	54.27	42.47	56.09	21.78	24.62	28.48	29.25	27.36	29.84	25.02	45
88	"HOP29"	"HOP"	61.15	49.6	37.98	43.06	51.38	39.27	56.62	21.17	26.21	31.26	31.93	28.92	30.25	28.48	48
89	"HOP30"	"HOP"	65.05	59.75	39.95	39.16	55.14	41.66	60.57	24.17	20.98	31.04	28.39	27.13	29.27	25.91	44
90	"GUI1"	"GUI"	47.65	47.02	60.62	55.25	43.67	40.45	37.77	28.05	26.59	27.87	29.41	27.95	26.88	25.85	40
91	"GUI2"	"GUI"	43.47	52.35	53.98	56.12	55.65	56.1	36.47	24.79	23.76	24.62	24.75	24.14	22.6	25.69	49
92	"GUI3"	"GUI"	47.15	50.98	52.76	48.72	51.91	52.43	45.91	24.3	24.88	24.64	26.81	26.41	24.39	25.47	46
93	"GUI4"	"GUI"	52.79	52.76	46.62	46.6	52.31	48.02	50.9	24.93	28.43	28	29.05	26.92	26.5	25.77	42
94	"GUI5"	"GUI"	52.96	52.91	50.13	53.8	55.87	54.35	47.17	26.73	27.5	28.74	27.16	27.7	26.14	31.13	46
95	"GUI6"	"GUI"	43.26	58.69	64.21	63.26	57.95	53.05	44.05	31.73	26.1	25.43	24.39	24.37	25.22	28.22	42
96	"GUI7"	"GUI"	44.96	54.7	50.48	48.89	47.17	49.02	48.33	28.23	28.68	30.16	29.21	30.81	33.2	30.3	46
97	"GUI8"	"GUI"	48.91	56.15	53.34	59.06	57.4	49.51	45.96	29.5	24.76	27.7	28	26.58	30.4	30.87	47
98	"GUI9"	"GUI"	38.28	54.17	57.28	50.62	47.83	44.21	42.38	28.48	27.45	29.54	31.57	29.55	31.55	29.39	47
99	"GUI10"	"GUI"	42.38	48.29	45.56	43.6	45.48	34.23	39.88	27.41	27.61	30.46	31.34	30.38	30.64	29.27	48
100	"GUI11"	"GUI"	53.5	50.36	49.86	40.7	47.95	44.93	52.09	29.35	28.72	30.31	32.33	28.19	32.88	31.53	44
101	"GUI12"	"GUI"	49.77	49.79	49.66	44.91	53.28	51.13	39.94	26.67	23.68	26.62	25.94	22.93	26.2	26.02	47
102	"GUI13"	"GUI"	46.47	45.84	52.27	51.93	45.13	49.2	42.98	29.47	26.2	27.73	29.04	26.6	29.32	27.86	45
103	"GUI14"	"GUI"	49.89	53.96	49.76	50.8	51.22	48.6	45.98	25.21	28.08	29.11	28.07	27.6	27.02	26.25	45
104	"GUI15"	"GUI"	57.14	39.8	34.93	35.45	42.25	36.75	46.59	21.31	29.02	30.84	29.8	27.72	31.13	29.62	44
105	"GUI16"	"GUI"	38.36	57.98	61.8	56.4	54.51	45	34.71	28.71	24.16	25.59	26.06	24.67	27.78	27.19	45
106	"GUI17"	"GUI"	54.75	49.25	50.33	45.52	50.12	44.38	49.9	24.75	30.05	27.97	27.56	26.81	30.88	27.6	48
107	"GUI18"	"GUI"	52.41	51.13	51.17	44.72	51.41	46.28	53.15	24.87	24.44	27.58	26.31	26.71	25.73	27.83	46
108	"GUI19"	"GUI"	51.69	48.8	46.07	46.69	50.47	46.53	47.69	26.12	25.82	28.34	26.42	27.31	26.2	24.89	45
109	"GUI20"	"GUI"	41.36	59.25	67.73	65.32	61.39	57.52	41.43	30.19	27.73	25.54	25.92	29.58	27.83	31.75	44
110	"GUI21"	"GUI"	53.96	51.3	51.93	50.57	50.07	49.63	49.11	21.04	26.74	24.81	27.63	24.53	26.81	26.92	46
111	"GUI22"	"GUI"	57.71	56.27	51.04	47.8	50.98	48.67	54.29	24.68	24.56	27.46	28.48	29.32	29.91	26.88	45
112	"GUI23"	"GUI"	47.52	54.07	53.1	51.71	50.79	53.95	46.81	24.81	22.64	26.12	30.24	23.56	26.75	26.52	42
113	"GUI24"	"GUI"	49.44	49.4	48.62	43.12	53.18	41.1	44.92	24.53	25.59	29.04	29.88	27.14	30.57	28.49	50
114	"GUI25"	"GUI"	34.89	54.76	67.56	63.69	50.47	50.27	39.29	29.81	30	21.64	20.35	25.37	29.42	28.2	45
115	"GUI26"	"GUI"	42.02	54.65	62.85	54.22	50.43	54.2	40.89	27.57	23.32	22.25	24.45	22.71	22.04	27.67	46
116	"GUI27"	"GUI"	50.48	50.25	47.77	49.27	56.48	43.62	49.1	25.11	28.42	28.58	26.02	27.16	27.29	25.96	48
117	"GUI28"	"GUI"	52.32	46.27	52.59	45.73	54.25	45.64	42.73	28.02	27.96	31.38	31.08	26.24	32.01	29.96	44
118	"GUI29"	"GUI"	48.93	47.93	44.19	45.12	44.53	40.93	42.98	25.91	24.33	29.59	30.15	25.7	29.04	28.5	43
119	"GUI30"	"GUI"	52.86	51.67	47.28	48	49.58	43.79	46.05	23.96	26.94	29.42	30.58	27.18	30.05	29.48	43
120	"COM1"	"COM"	35.95	61.45	60.3	60.27	71.86	47.18	38.7	30.57	27.73	25.84	25.33	23.49	29.78	27.46	44
121	"COM2"	"COM"	46.91	53.89	46.72	51.11	55.83	46.74	41.57	25.76	24.56	29.67	27.45	25.01	28.12	27.84	46
122	"COM3"	"COM"	41.85	63.39	52.85	60.15	67.71	46.73	39.63	31.69	29.42	32.37	29.12	26.24	32.44	29.54	41
123	"COM4"	"COM"	37.8	55.66	53.02	52.51	63.12	46.24	39.78	27.29	24.16	26.19	27.52	22.76	26.76	25.99	41
124	"COM5"	"COM"	43.57	56.27	60.71	56.14	60.78	47.84	42.39	29.35	26.66	28.44	29.16	29.12	31.14	29.95	49
125	"COM6"	"COM"	45.28	69.22	65.59	60.41	70.04	52.52	44.72	34.17	22	21.89	23.36	20.28	28.39	31.18	46
126	"COM7"	"COM"	37.2	57.95	54.61	52.05	61.02	40.82	39.25	29.59	28.36	30.76	32.22	29.69	30.19	30.46	44
127	"COM8"	"COM"	46.15	60.26	54.54	53.89	66.76	49.04	44.46	28.8	26.47	30.29	31.26	26.23	32.32	32.38	46
128	"COM9"	"COM"	44.82	58.89	49.92	51.42	64.45	42.97	48.29	29.41	24.97	27.41	25.95	24.77	30.44	28.7	38
129	"COM10"	"COM"	39.42	59.82	57.62	55.49	63.02	40.51	35.47	29.77	27.37	29.78	29.46	25.45	30.1	28.03	45
130	"COM11"	"COM"	38.71	60.94	51.49	50.18	66.86	43.69	38.12	25.24	23.98	28.33	26.36	21.66	26.94	26.86	49
131	"COM12"	"COM"	43.21	67.6	63.32	63.38	72.23	51.79	42.89	28.54	22.76	23.6	23.44	22.11	28.31	27.56	47
132	"COM13"	"COM"	39.69	58.59	59.06	48.82	62.51	42.08	39.78	29.7	27.01	29.94	29.64	23.3	29.14	29.58	49
133	"COM14"	"COM"	41.39	59.61	60.33	56.47	64.45	45.2	40.61	29.15	25.72	27.02	27.27	20.05	26.88	30.48	51
134	"COM15"	"COM"	42.56	57.94	56.73	52.94	61.71	51.48	48.79	29.94	26.95	26.84	28.35	24.83	26.63	24.8	48
135	"COM16"	"COM"	37.8	63.58	66.2	62.91	65.73	51.93	37.47	31.45	25.2	25.19	24.25	21.46	27.46	28.9	45
136	"COM17"	"COM"	46.23	62.95	61.59	55.09	67.55	46.18	43.3	31.86	24.96	31.04	28.69	22.87	30.24	30.55	44
137	"COM18"	"COM"	44.58	63.64	60.76	59.53	68	49.8	40.76	32.17	25.9	29.39	26.35	23.96	33.17	29.25	45
138	"COM19"	"COM"	38.87	67.67	60.78	60.69	72.42	53.69	39.67	30.41	22.96	28.54	25.3	20.14	30.05	31.46	45
139	"COM20"	"COM"	44.7	54.59	49.8	47.65	54.26	39.57	43.3	26.58	21.74	26.17	27.14	26.17	27.9	28.47	46
140	"COM21"	"COM"	45.79	60.37	52.88	59.7	61.4	51.42	44.09	30.1	23.55	25.13	24.31	25.76	27.53	30.26	43
141	"COM22"	"COM"	34.21	60.88	60.64	57.64	67.74	45.81	36.69	32.54	28.39	33.71	30.51	24.57	31.7	32.36	42
142	"COM23"	"COM"	38.52	62.64	50.93	56.39	69.16	45.59	40.8	27.46	25.83	26.37	27.52	23.17	28.51	30.14	44
143	"COM24"	"COM"	41.18	60.98	57.25	55.55	61.95	48.91	41.25	27.18	22.66	22.62	22.8	20.71	25.58	25.51	44
144	"COM25"	"COM"	45.79	54.23	52.49	52.51	57.14	47.3	44.4	25.93	26.16	27.55	25.45	25.97	27.39	26.15	43
145	"COM26"	"COM"	36.24	66.33	55.76	62.87	68.73	45.64	39.2	30.85	26.03	28.55	28.45	23.35	28.46	28.49	45
146	"COM27"	"COM"	39.7	63.74	52.6	48.37	68.65	38.58	43.65	29.68	23.42	29	29.57	23.89	31.53	28.82	43
147	"COM28"	"COM"	44.77	52.85	46.42	49.52	55.52	40.67	40.9	26.94	26.53	27.92	27.83	26.47	28.38	24.43	40
148	"COM29"	"COM"	35.64	58.05	44.45	54.19	58.1	47.24	41.52	26.48	26.52	29.87	26.86	26.56	29.02	29.63	42
149	"COM30"	"COM"	41.59	70.05	54.32	59.91	73.2	41.75	43.57	36.58	25.9	31.77	28.6	20.45	28.8	31.91	44
150	"NEU1"	"NEU"	51.83	42.88	38.55	36.67	40.07	37.21	43	20.12	27.45	29.21	27.44	25.21	28.18	27.35	42
151	"NEU2"	"NEU"	58.33	36.96	37.67	37.91	39.31	36.36	41.6	18.26	30.15	30.5	31.48	31.83	31.11	31.04	45
152	"NEU3"	"NEU"	62.09	51.17	35.38	36.47	51.04	37.77	52.7	19.88	30.21	33.24	31.33	30.22	32.43	31.63	47
153	"NEU4"	"NEU"	58.86	39.51	41.95	37.74	43.3	40.14	47.09	25.36	29.06	33.17	32.02	31.39	32.14	32.15	43
154	"NEU5"	"NEU"	59.07	41.84	30.75	31.93	38.39	30.7	41.27	20.54	26.65	27.73	28.72	28.7	26.95	29.14	44
155	"NEU6"	"NEU"	55.2	41.07	36.25	36.84	39.66	33.66	39.45	22.24	30.23	31.84	32.48	29.4	31.74	31.11	44
156	"NEU7"	"NEU"	59.74	43.84	40.16	43.37	46.81	36.72	46.95	18.87	29.89	31.15	32.11	29.96	29.2	31.66	43
157	"NEU8"	"NEU"	61.33	46.89	36.28	40.91	43.87	36.89	49.52	21.31	27.06	29.75	31.32	27.39	29.76	27.31	46
158	"NEU9"	"NEU"	52.98	48.31	40.49	43.29	52.76	43.98	44.56	22.12	26.03	28.45	27.5	27.3	27.03	27.26	45
159	"NEU10"	"NEU"	52.87	40.38	30.04	31.42	34.76	34.62	36.04	24.5	30.25	29.23	27.76	31.23	31.18	30.57	45
160	"NEU11"	"NEU"	58.96	44.27	34.47	34.51	45.29	37.43	45.98	19.81	29.57	30.54	30.32	28.3	30.37	28.36	49
161	"NEU12"	"NEU"	55.76	42.96	36.24	33.44	44.16	36.09	44.91	21.13	27.03	30.62	29.05	26.62	29.82	26.31	45
162	"NEU13"	"NEU"	55.56	41.05	43.58	43.16	43.6	38.51	42.79	19.97	29.98	29.85	28.79	30.15	27.67	30.05	43
163	"NEU14"	"NEU"	63.3	48.34	27.62	25.43	44.4	26.96	50.32	25.35	31.47	31.71	30.23	33.24	31.21	33.41	47
164	"NEU15"	"NEU"	61.58	43.18	34.69	36.13	42.13	39.11	43.04	19.68	30.24	29.47	29.85	29.04	31.95	29.48	45
165	"NEU16"	"NEU"	54.71	36.52	30.4	29.57	32.24	28.86	33.6	22.31	25.96	28.41	26.66	25.44	27.92	26.38	42
166	"NEU17"	"NEU"	59.29	41.47	36	33.96	43.91	38.11	46.49	18.02	27.3	31.15	28.92	29.02	30.8	27.89	45
167	"NEU18"	"NEU"	63.17	49.07	29.41	30.54	42.96	32.78	47.39	23.48	30.27	31.23	32.75	29.1	33.49	29.43	46
168	"NEU19"	"NEU"	64.52	60	38.48	38.04	50.85	37.24	61.5	22.4	24.25	31.36	30.36	27.7	29.65	27	46
169	"NEU20"	"NEU"	58.3	56.83	41.77	37.62	54.62	44.77	49.77	24.69	28.08	31.96	30.94	29.5	30.75	31.56	47
170	"NEU21"	"NEU"	54.15	40.85	38.26	36	37.79	35.19	39.83	21.92	32.05	32.75	32.3	31.6	31.13	29.61	47
171	"NEU22"	"NEU"	57.91	42.23	38.12	37.74	45.23	40	49.4	18.26	26.41	31.33	30.22	28.29	29.76	29.11	43
172	"NEU23"	"NEU"	51.39	43.43	33.24	33.43	45.98	38.92	35.1	21.3	31.79	30.58	30.03	32.16	32.21	29.6	49
173	"NEU24"	"NEU"	59.09	42.02	36.3	37.8	41.09	36.39	46.14	19.43	27.83	32.8	32.95	30.23	32.55	30.45	44
174	"NEU25"	"NEU"	57.29	40.29	32.6	32.26	36.45	35.17	40.17	19.53	30.22	30.08	29.75	26.64	29.73	27.35	42
175	"NEU26"	"NEU"	59.62	44.45	37.05	39.5	43.48	39.19	46.52	19.23	27.32	30.52	30.06	30.09	29.98	28.3	42
176	"NEU27"	"NEU"	59.05	43.17	40.78	39.54	47.41	40.61	48.32	20.24	26.31	30.11	29.28	26.99	27.68	30.81	41
177	"NEU28"	"NEU"	54.95	36.16	32.33	35.63	37.42	30.93	37.49	21.82	28.78	29.78	30.36	30.21	29.36	29.26	43
178	"NEU29"	"NEU"	55.29	37.94	35.17	33.52	38.12	31.4	34.33	19.55	28.65	31.12	30.4	30.08	28.81	29.09	48
179	"NEU30"	"NEU"	59.72	42.53	30.83	30.62	36.96	30.26	37.64	17.81	28.22	31.65	31.59	31.48	31.88	30.11	47
