"ord"	"code"	"category"	"M.Valence"	"M.Arousal"	"M.Anger"	"M.Anxiety"	"M.Compassion"	"M.Guilt"	"M.Hope"	"SD.Valence"	"SD.Arousal"	"SD.Anger"	"SD.Anxiety"	"SD.Compassion"	"SD.Guilt"	"SD.Hope"	"n"
0	"ANX1"	"ANX"	43.28	58.04	54.96	56.93	58.87	45.09	37.59	28.64	26.55	27.18	27.19	26.94	28.95	29.23	46
1	"ANX2"	"ANX"	35.28	55.43	53.47	57.55	51.06	50.38	38.28	30.31	27.77	31.01	28.71	30.9	30.42	32.5	47
2	"ANX3"	"ANX"	38.9	54.17	59.56	62.17	55.34	51.1	42.85	30.94	28.65	31.29	27.53	30.79	31.87	32.94	41
3	"ANX4"	"ANX"	40.79	50.32	48.6	53.06	54.64	39.15	39.68	28.11	28.69	29.9	28.77	26.15	28.85	27.03	47
4	"ANX5"	"ANX"	48.09	52.63	54.47	49.7	58.51	46.44	43.19	23.66	22.4	25.84	25.5	23.37	27.98	26.29	43
5	"ANX6"	"ANX"	44.55	58.69	52.43	61.07	64.55	49.86	43.83	26.98	24.33	25.99	23.21	23.42	30.24	30.52	42
6	"ANX7"	"ANX"	40.38	62.67	60.82	63.82	63.27	50.09	46.91	31.57	26.6	29.43	26.02	24.69	26.48	29.57	45
7	"ANX8"	"ANX"	44.82	58.6	53.9	55.78	66.26	45.66	41.24	30.5	26.49	25.53	25.87	22.64	29.26	29.32	50
8	"ANX9"	"ANX"	44.71	55.44	52.95	53.22	57.95	45.76	39.39	28.9	26.21	28.02	28.07	28.21	28.9	26.08	41
9	"ANX10"	"ANX"	54.68	58.47	51.6	53.85	59.13	49.79	55.43	26.36	23.04	28.19	27.7	25.85	27.99	22.63	47
10	"ANX11"	"ANX"	39.43	58.02	51.85	56.49	60.96	44.98	39.81	29.86	24.16	27.98	30.1	24.19	26.88	29.2	47
11	"ANX12"	"ANX"	39.41	49.17	49.91	53.43	53.91	45.59	46.2	25.87	27.82	29.77	29.87	28.87	29.42	27.22	46
12	"ANX13"	"ANX"	43.22	47.92	45.86	45.3	50.92	37.36	35.6	25.46	27.82	26.62	28.17	27.14	26.44	27.28	50
13	"ANX14"	"ANX"	50.67	47.93	42.78	48.91	48.31	42.82	46.13	27.14	26.49	29.64	28.66	24.64	27.05	26.61	45
14	"ANX15"	"ANX"	46.66	59.36	56.43	57.98	61.15	46.11	45.74	28.88	24.31	25.96	26.4	24.51	28.62	27.98	47
15	"ANX16"	"ANX"	41.16	57.52	56.43	60.18	56.73	54.3	42.66	29.76	27.75	24.45	24.63	25.9	27.8	28.24	44
16	"ANX17"	"ANX"	43.17	58.11	55.78	61	61.48	50.15	40.96	30.1	23.91	26.36	25.82	25.39	30.2	28.14	46
17	"ANX18"	"ANX"	49	53.55	56.11	55.94	59.3	46.11	44.26	28.37	26.45	26.11	25.42	23.37	29.16	27.14	47
18	"ANX19"	"ANX"	48.08	52.08	60.44	58.38	57.94	47.21	45.46	29.27	27.92	27.82	28.13	28.2	29.18	30.49	48
19	"ANX20"	"ANX"	48.92	54.69	50.83	54.71	54.98	46.31	44.06	27.68	27.74	31.65	26.75	28.7	30.32	28.89	48
20	"ANX21"	"ANX"	47.57	59.24	52.12	54.43	61.14	42.76	44.73	29.66	25.67	28.31	28.47	26.12	30.41	27.42	49
21	"ANX22"	"ANX"	45.36	62.47	47.4	56.91	63.47	40.62	47.36	28.06	19.2	26.21	25.55	20.81	29.16	27.96	47
22	"ANX23"	"ANX"	40.36	55.84	52.75	55.86	56.02	44.64	38.23	27.86	25.92	30.03	28.67	26.49	29.54	30.14	44
23	"ANX24"	"ANX"	52.57	48.47	43.64	39.57	44.21	42.57	46.09	23.33	25.55	28.55	29.98	29.18	30.42	27.32	47
24	"ANX25"	"ANX"	52.29	55.71	51.46	51.4	52.75	44.54	46.52	25.81	28.87	27.87	28.23	28.88	29.59	29.7	48
25	"ANX26"	"ANX"	42.22	60.93	59.2	60.12	68.71	41.9	38.66	33.51	29.14	29.57	29.63	25.58	29.17	30.42	41
26	"ANX27"	"ANX"	42.07	55.12	51.37	53.27	57.51	43.05	40.29	29.77	28.66	30.51	30.58	29.84	30.54	28.61	41
27	"ANX28"	"ANX"	39.29	60.87	52.53	55.2	64.62	43.58	37.22	27.75	21.58	28.47	29.44	21.54	28.99	28.59	45
28	"ANX29"	"ANX"	46.14	54.64	55.62	54.94	59.06	47.8	45.06	29.21	29.46	30.81	29.94	26.51	32.16	30.91	50
29	"ANX30"	"ANX"	46.67	61.98	47.43	60.27	64.02	45.2	39.1	29.73	23.43	31.28	24.28	20.33	27.43	26.67	49
30	"ANG1"	"ANG"	43.37	47.15	53.76	51.32	44.63	40.41	35.2	24.9	26.65	28.86	28.55	28.39	29.3	25.42	41
31	"ANG2"	"ANG"	46.62	55.71	53.71	49.96	52.38	42.82	46.64	28.76	27.83	33.11	31.51	28.49	31.95	33.34	45
32	"ANG3"	"ANG"	39.62	45.38	57.02	49.96	39.13	38.81	36	26.91	28.33	27.09	28.93	28.95	30.36	26.49	47
33	"ANG4"	"ANG"	44.49	56.45	67.55	57.34	53.32	54	43.47	32.35	27.95	23	26.45	29.45	28.72	31.56	47
34	"ANG5"	"ANG"	53.51	57.46	67.05	57.56	62.63	47.93	51.56	24.18	22.86	20.21	25.07	23.63	27.19	26.27	41
35	"ANG6"	"ANG"	38.17	54.28	72.94	67.19	42.19	41.89	37.83	30.47	31.5	24.06	27.66	32.06	32.08	31.45	47
36	"ANG7"	"ANG"	40.53	57.86	59.77	55.74	52.35	44.63	44.84	29.42	26.6	22.99	24.81	26.7	28.27	27.78	43
37	"ANG8"	"ANG"	42.76	52.85	63.07	53.83	43.09	43.24	42.7	30.31	29.6	28	29.98	29.87	31.27	30.57	46
38	"ANG9"	"ANG"	37.49	43.08	58.18	50.87	33.82	44.33	31.18	31.76	32.23	34.62	33.11	32.62	35.86	31.09	39
39	"ANG10"	"ANG"	51.04	47.6	53.57	47.66	44.64	41.91	43.83	28.96	27.53	26.77	28.12	26.18	23.95	26.42	47
40	"ANG11"	"ANG"	45.43	48.34	55.59	43.7	47.14	44.8	44.14	25.18	25.52	22.69	24.16	24.52	25.64	24.92	44
41	"ANG12"	"ANG"	48.85	44.43	57.89	45.67	42.26	38.57	41.63	29.41	27.89	29.6	27.83	27.41	30.63	29.57	46
42	"ANG13"	"ANG"	50	51.58	48.48	46.42	54.68	45.12	43.42	25.89	24.43	27.61	28.59	25.47	28.67	26.89	50
43	"ANG14"	"ANG"	58.71	60.07	47.78	43.64	60.56	48.11	54.98	26.36	23.68	27.55	28.43	25.06	26.23	27.25	45
44	"ANG15"	"ANG"	40.34	48.27	63.05	57.02	48.68	41.34	39.27	26.71	26.66	22.26	23.82	26.44	26.87	28.31	41
45	"ANG16"	"ANG"	55.19	49.42	45.71	43.19	44.56	40.9	53.23	27.42	26.52	30.74	30.28	29.94	31.59	29.46	48
46	"ANG17"	"ANG"	46.62	52.31	55.73	49.29	50.42	45.83	47	29.91	26.89	27.99	29.12	28.52	28.88	31.74	48
47	"ANG18"	"ANG"	42.88	43.07	52.63	43.23	44.77	44.05	36.21	29.13	29.02	29.68	30.31	27.93	30.31	29.69	43
48	"ANG19"	"ANG"	41.89	55.89	56.62	53.13	60.43	41.64	35.77	26.81	26.58	26.75	28.08	28.74	30.62	29.53	47
49	"ANG20"	"ANG"	45.23	41.09	54.43	50.17	44.21	37.74	40.51	30.17	26.84	28.42	28	31.46	30.61	30.56	47
