"ord"	"code"	"category"	"M.Valence"	"M.Arousal"	"M.Anger"	"M.Anxiety"	"M.Compassion"	"M.Guilt"	"M.Hope"	"SD.Valence"	"SD.Arousal"	"SD.Anger"	"SD.Anxiety"	"SD.Compassion"	"SD.Guilt"	"SD.Hope"	"n"
0	"ANX1"	"ANX"	21.75	47.15	45.5	59.47	55.35	29.96	12.82	16.88	26.57	31.09	29.2	33.56	28.52	20.46	68
1	"ANX2"	"ANX"	20.82	55.65	48.37	61.21	39.6	36.75	14.03	17.71	28.17	36.26	28.96	32.84	32.26	21.49	68
2	"ANX3"	"ANX"	21.07	55.14	60.42	63.74	51.8	48.7	20.23	19.94	28.15	27.96	29.59	29.04	32.57	27.14	69
3	"ANX4"	"ANX"	17.49	49.29	55.87	64.17	44.52	35.58	10.88	16.24	27.95	31.14	26.24	29.93	29.04	16.12	69
4	"ANX5"	"ANX"	20.49	51.78	52.17	61.45	60.75	32.81	9.45	17.98	30.52	34.95	31.59	31.25	33.46	18.39	69
5	"ANX6"	"ANX"	20.67	55.01	44.29	57.39	81	29.7	17.28	19.54	24.92	32.59	29.35	19.45	30.84	24.06	69
6	"ANX7"	"ANX"	18.64	58.59	59.12	68.88	62.62	37.59	9.68	17.74	27.37	31.36	28.56	29.76	32.83	16.7	69
7	"ANX8"	"ANX"	23.79	50.13	40.74	55.87	73.6	22.78	13.57	17.72	27.81	30.62	31.98	25.63	26.6	21	68
8	"ANX9"	"ANX"	19.24	55.46	46.45	65.8	51.66	40.85	8.82	15.69	30.08	32.68	28.72	32.55	35.64	18.54	71
9	"ANX10"	"ANX"	38.43	55.93	50.33	61.97	55.77	38.67	36.01	28.1	25.96	30.18	33.4	29.76	30.84	31.85	70
10	"ANX11"	"ANX"	16.09	60.26	52.2	69.75	65.75	35.28	6.48	17.24	27.53	34.79	29.24	30.36	33.34	12.51	69
11	"ANX12"	"ANX"	24.62	44.06	45.59	55.93	64.07	40.12	11.01	17.84	28.44	34.49	33.26	34.92	33.57	19.74	69
12	"ANX13"	"ANX"	34.21	53.38	37.29	52.29	60.53	26.31	21.22	24.19	26.78	34.61	34.26	32.82	31.35	28.24	68
13	"ANX14"	"ANX"	45.29	43.89	38.2	41.66	34.39	32.23	31.7	25.74	26.84	34.8	35.42	33.56	33.12	31.55	70
14	"ANX15"	"ANX"	23.75	47.96	49.48	60.01	58.93	34.39	15.67	18.54	27.95	30.6	32.6	30.43	31.45	24.55	69
15	"ANX16"	"ANX"	17.16	53.06	48.78	57.18	59	30.68	7.71	16.82	30.92	34.72	34.58	34.42	33.5	13.26	68
16	"ANX17"	"ANX"	22.88	55.2	48.67	54.51	74.55	27.49	11.65	19.58	24.53	32.06	31.71	25.66	29.68	20.78	69
17	"ANX18"	"ANX"	34.19	43.63	37.64	47.7	43.99	22.7	17.23	18.69	27.01	31.24	28.63	32.34	26.34	24.24	70
18	"ANX19"	"ANX"	27.1	45.79	46.9	51.41	41.6	36.74	11.71	20.67	28.64	34.68	32.98	32.19	32.47	16.87	70
19	"ANX20"	"ANX"	22.16	52.09	48.36	60.81	37.7	36.19	11.2	17.26	29.56	30.81	30.62	34.41	31.41	18.39	69
20	"ANX21"	"ANX"	19.91	55.59	46.21	61.63	64.91	32.22	10.53	16.07	29.26	32.62	32.92	29.9	31.22	18.66	68
