"ord"	"code"	"category"	"M.Valence"	"M.Arousal"	"M.Anger"	"M.Anxiety"	"M.Compassion"	"M.Guilt"	"M.Hope"	"SD.Valence"	"SD.Arousal"	"SD.Anger"	"SD.Anxiety"	"SD.Compassion"	"SD.Guilt"	"SD.Hope"	"n"
21	"ANX22"	"ANX"	21.57	52.28	30	47.03	75.63	19.79	14.49	18.01	26.67	30.67	32.71	26.7	23.5	22.49	67
22	"ANX23"	"ANX"	14.62	63.45	63.1	65.07	63.61	41.75	8.09	17.1	26.36	32.98	27.16	26.3	33.96	15.6	69
23	"ANX24"	"ANX"	40.1	41.29	30.85	42.25	24.15	22.29	26.57	20.7	28.36	31.29	33.61	29.26	26.79	30.64	68
24	"ANX25"	"ANX"	31.75	40.12	41.6	49.65	36.31	31.31	15.09	16.97	25.51	32.27	33.52	32.03	27.93	22.32	68
25	"ANX26"	"ANX"	26.57	45	39.06	55.3	61.74	24.74	11.43	18.94	30.48	33.62	33.77	32.9	26.78	19.35	69
26	"ANX27"	"ANX"	32.04	51.32	46.77	54.9	54.93	34.39	11.59	22.36	31.51	35.24	35.94	32.82	34	20.23	71
27	"ANX28"	"ANX"	19.63	52.81	48.72	62.72	69.1	31.56	9.82	18.37	28.61	34.61	28.67	27.81	30.56	20	68
28	"ANX29"	"ANX"	24	54.72	58.31	65.63	60.27	26.82	19.21	18.93	23.98	30.7	25.65	27.19	25.42	24.44	67
29	"ANX30"	"ANX"	29.52	47.46	35.13	50.64	55.68	23.94	12.7	19.89	29.69	33.66	33.24	35.94	28.79	21.65	69
30	"ANG1"	"ANG"	15.87	62.22	70.28	40.83	25.58	17.17	6.99	16.68	29.51	27.95	34.92	31.96	27.94	15.06	69
31	"ANG2"	"ANG"	40.1	45.31	43.37	23.76	43.17	24.46	30.56	22.94	28.07	32.02	27.1	31.65	30.13	32.89	71
32	"ANG3"	"ANG"	13.51	65.33	77.33	37.59	29	11.23	7.1	17.53	26.48	23.07	33.3	33.58	20.67	15.95	70
33	"ANG4"	"ANG"	13.25	69.34	76.4	57.51	35.48	36.64	9.6	21.33	29.53	28.56	35.43	35.32	35.69	18.76	67
34	"ANG5"	"ANG"	40.75	58.67	66.26	28.36	44.3	17.22	44.01	32.7	26.9	28.38	30.18	31.67	24.43	33.42	69
35	"ANG6"	"ANG"	13.26	61.09	74.91	47.17	21.59	15.33	4.99	17.81	27.36	27.86	36.37	31.01	23.19	12.29	69
36	"ANG7"	"ANG"	16.5	56.29	67.6	42.43	26.29	17.75	7.63	16.52	29.19	32.03	35.77	29.54	26.74	14.66	68
37	"ANG8"	"ANG"	15.72	60.54	70.84	28.25	11.58	7.8	6.23	19.34	30.8	29.18	30.52	24.04	13.58	16.1	69
38	"ANG9"	"ANG"	19.26	54	68.8	36.23	22.62	22.75	7.64	18.91	28.39	29.99	33.94	30.29	27.49	16.96	69
39	"ANG10"	"ANG"	23.8	55.61	61.18	42.82	25.45	15.67	9.14	20.87	29.71	32.78	33.35	30.61	23.08	16.72	66
40	"ANG11"	"ANG"	18.94	65.87	70.78	45.54	43.25	16.19	14.09	24.16	27.23	28.56	37.15	32.61	24.9	24.94	68
41	"ANG12"	"ANG"	17.63	51.56	64.68	37.56	17.65	13.47	6.29	17.27	30.49	32.83	33.22	26.4	23.81	15.6	68
42	"ANG13"	"ANG"	19.04	58.38	73.16	51.57	50.9	27.52	10.99	18.8	26.64	25.53	32.05	33.02	28.91	17.83	69
43	"ANG14"	"ANG"	36.83	60.16	55.37	29.46	47.1	26.26	29	31.71	28.06	39.48	31.45	34.57	31.81	35.82	70
44	"ANG15"	"ANG"	13.69	66.66	79.67	37.25	36.46	26.64	6.87	17.62	23.5	22.92	32.18	34.29	28.56	14.95	67
45	"ANG16"	"ANG"	48.38	35.18	30.34	16.63	10.78	12.66	34	26.09	26.64	32.91	24.52	19.44	21.67	32.78	68
46	"ANG17"	"ANG"	29.9	50.65	56.39	38.22	23.3	18.65	9.88	27.16	31.53	38.03	34.16	31.39	26.5	21.56	69
47	"ANG18"	"ANG"	25.71	53.65	64.25	34.51	22.32	20.2	12.83	22.7	26.03	31.11	30.58	29.85	24.46	21.67	69
48	"ANG19"	"ANG"	22.25	50.31	58.94	39.72	51.93	17.73	10.68	17.49	27.76	30.45	32.51	31.01	25.97	19.29	71
49	"ANG20"	"ANG"	14.84	58.35	71.33	40.86	13.62	14.77	8.91	19.51	32.19	31.92	36.55	24.91	26.36	18.37	69
50	"ANG21"	"ANG"	12.59	66.62	72.39	55.96	19.88	21.54	10.07	16.44	25.83	28.06	33.07	28.44	30.39	19.94	69
51	"ANG22"	"ANG"	26	48.9	42.11	40.21	69.3	20.57	12.36	19.52	26.35	32.01	32.35	27.32	24.3	17.55	70
52	"ANG23"	"ANG"	28.15	53.52	62.19	38.42	31.34	30.76	15.1	23.16	26.46	31.15	31.86	29.6	31.39	22.61	67
53	"ANG24"	"ANG"	16.71	57.52	65.09	64.97	50.42	50.65	12.86	17.24	30.44	28.9	31.03	32.28	32.32	20.45	69
54	"ANG25"	"ANG"	13.1	63.84	74.94	38.22	20.31	28.04	7.91	18.12	28.97	28.15	35.88	29.21	32.36	18.42	68
55	"ANG26"	"ANG"	29.89	54.39	56.3	47.92	21.79	24.17	19.52	29.48	28.99	30.6	29.57	27.54	29.53	27.47	71
56	"ANG27"	"ANG"	23.64	56.58	56.68	27.75	28.48	20	26.7	20.64	29.89	34.85	30.25	29.56	26.65	31.45	69
57	"ANG28"	"ANG"	20.74	53.21	61.27	43.59	27.06	16.33	10.17	18.63	30.57	34.11	34.74	27.73	25.98	17.72	70
58	"ANG29"	"ANG"	39.27	30.06	21.89	27.85	57.64	13.29	16.41	18.48	26.66	28.45	32.5	29.28	20.19	27.71	66
59	"ANG30"	"ANG"	16.91	63.41	70.25	24.82	23.1	12.35	7.9	18.2	27.14	31.79	29.74	32.84	21.31	16.55	68
60	"HOP1"	"HOP"	70.7	49.39	21.22	30.97	37.58	19.86	62.52	23.99	25.76	25.39	27.7	33.19	26.49	32.61	69
61	"HOP2"	"HOP"	74.4	50	9.09	17.56	15.96	13.75	67.59	20.28	26.1	12.84	23.46	22.97	19.97	30.48	68
62	"HOP3"	"HOP"	72.68	47.26	9.97	11.56	14.94	23.12	65.44	24.02	30.6	19.35	19.85	26.06	28.92	30.66	68
63	"HOP4"	"HOP"	81.01	55.94	12.12	15.88	18.47	20.37	76.41	18	25.05	19.91	21.47	24.91	26.89	25.87	68
64	"HOP5"	"HOP"	80.71	54.19	6.84	9.66	8.57	7.1	72.94	21.43	29.69	14.92	16.45	17.36	13.8	29.54	68
65	"HOP6"	"HOP"	52.47	46.21	34.72	36.63	22.13	24.01	45.46	22.3	29.09	29.8	30.65	26.66	26.48	32.26	68
66	"HOP7"	"HOP"	76.6	54.49	13.57	11.88	14.03	11.94	75.39	24.06	25.96	22.63	18.73	25.44	20.11	30.38	67
67	"HOP8"	"HOP"	70.46	47.09	14.18	12.01	13.57	14.44	63.56	22.91	28.42	24.53	21.1	20.65	24.07	31.96	68
68	"HOP9"	"HOP"	74.93	40.59	11.17	13.32	15.52	20.57	64.96	16.75	25.77	17.78	19.15	22.44	23.66	27.39	69
69	"HOP10"	"HOP"	76.67	49.13	9.55	11.45	12.52	12.77	67.96	21.46	29.37	19.88	20.9	22.35	20.39	29.75	69
70	"HOP11"	"HOP"	76.63	44.97	8.74	11.57	16.4	11.46	68.32	16.68	28.3	18.91	20.46	27.11	19.73	27.59	68
71	"HOP12"	"HOP"	76.46	45.25	10.39	10.33	14.94	13.59	64.51	23.07	27.18	20.42	18.29	26.97	21.24	32.25	69
72	"HOP13"	"HOP"	75.5	39.18	7.6	8.53	11.78	9.57	63.4	20.84	27.42	16.46	16.98	20.27	16.99	31.32	68
73	"HOP14"	"HOP"	72.21	40.72	13.6	13.43	13.01	22.03	60.31	20.89	27.03	23.66	21.17	21.04	23.71	32.81	68
74	"HOP15"	"HOP"	82.19	45.66	6.69	7.9	8.51	5.96	72.03	18.58	28.29	16.89	17.62	16.64	13.3	26.8	70
75	"HOP16"	"HOP"	77.82	48	9.99	11.06	17.79	12.06	69.31	16.9	27.2	15.83	18	24.85	19.07	28.09	68
76	"HOP17"	"HOP"	81.34	47.93	8.01	8.74	9.76	17.85	71.22	17.68	23.91	18.4	18.77	21.22	25.89	27.91	68
77	"HOP18"	"HOP"	74.12	49.93	21.64	14.52	20.36	13.93	68.61	22.36	28.05	28.47	21.56	26.65	22.42	30.18	69
78	"HOP19"	"HOP"	79.07	45.16	9.88	13.01	13.7	13.67	69.77	19.85	26.78	21.22	22.01	25.36	21.69	30.78	69
79	"HOP20"	"HOP"	69.76	40.9	11.69	11.76	18.36	21.01	62.4	20.14	28.62	21.56	19.3	25.05	25.61	31.36	67
80	"HOP21"	"HOP"	71.55	42.29	8.35	9.93	11.46	13.72	66.8	20.31	27.09	17.35	17.53	19.05	21.48	28.15	69
81	"HOP22"	"HOP"	78.91	48.29	8.04	13.94	13.71	12.29	70.06	18.5	28.15	16.53	21.17	21.53	19.79	27.23	69
82	"HOP23"	"HOP"	80.41	47.37	7.79	8.27	14.96	11.81	72.89	17.19	30.04	17.13	16.39	22.99	21.95	28.67	70
83	"HOP24"	"HOP"	75.54	50.38	11.94	13.36	40.03	28.09	65.26	22.99	30.3	21.65	25.9	34.39	29.56	32.62	69
84	"HOP25"	"HOP"	73.2	48.39	15.24	13.89	14.01	11.13	65.73	20.68	28.85	23.56	19.33	23.2	18.97	31.63	70
85	"HOP26"	"HOP"	78.9	52.07	10.55	16.68	14.64	13	73.2	22.32	29.49	22.35	26.27	23.22	23.41	29.38	69
86	"HOP27"	"HOP"	82.7	59.51	6.84	10.14	9.19	9.44	79.99	22.57	27.77	17.6	20.4	18.65	19.72	26.69	70
87	"HOP28"	"HOP"	72.64	45.07	20.04	20.36	45.19	17.87	62.86	24.61	28.49	26.98	23.5	34.48	26.62	28.89	69
88	"HOP29"	"HOP"	56.4	39.96	21.93	29.88	19.84	20.01	47.22	19.1	27.22	26.38	29.34	23.78	23.03	32.8	68
89	"HOP30"	"HOP"	68.19	45.97	25.99	28.49	35.58	28.03	65.61	21.15	26.22	27.36	27.82	31.66	29.52	30.87	69
90	"GUI1"	"GUI"	23.51	52.91	53.13	55.72	29.01	45.56	12.38	17.97	25.47	32.56	32.36	29.99	31.17	19.83	68
91	"GUI2"	"GUI"	24.51	49.41	48.12	48.62	42.45	49.39	12.84	17.58	27.07	33.29	33	31.84	33.89	20.32	69
92	"GUI3"	"GUI"	31.29	39.14	38.51	36.04	18.04	33.22	6.71	17.49	30	33.49	34.94	27.38	33.24	15.56	69
93	"GUI4"	"GUI"	45.55	36.28	28.12	33.68	27.22	38.75	27.45	23.72	26.25	30.93	32.64	30.7	32.58	30.56	69
94	"GUI5"	"GUI"	18.84	52.67	57.13	60.41	33.35	52	11.77	17.85	30.25	34.07	32.48	32.42	31.42	19.8	69
95	"GUI6"	"GUI"	14.73	60.24	67.89	61.21	47.53	52.26	10.03	18.57	28.54	28.53	31.75	34.73	32.07	18.29	70
96	"GUI7"	"GUI"	30.72	46.97	40.58	45.03	37.45	50.19	22.67	23.75	27.36	34.43	36.51	31.93	32.76	25.88	69
97	"GUI8"	"GUI"	34.38	38.46	33.09	31.91	34.35	39.29	14.62	16.03	24.62	28.08	28.26	29.78	33.68	19.03	69
98	"GUI9"	"GUI"	27.29	52.4	56.44	39.43	24.36	40.41	21.63	24.11	28.77	33.43	35.11	28.93	35.24	26.61	70
99	"GUI10"	"GUI"	31.31	44.87	44.26	32.18	37.75	20.93	16.21	21.75	25.08	31.46	33.11	33.27	26.68	22.13	68
100	"GUI11"	"GUI"	41.51	25.23	25.64	16.17	24.46	22.39	14.93	14.74	27.55	31.01	24.84	29.02	27.88	20.64	69
101	"GUI12"	"GUI"	25.5	46.09	47.74	35.97	33.62	48.1	13.18	20.45	30.56	32.73	32.51	30.75	34.65	19.46	68
102	"GUI13"	"GUI"	24.74	42.34	47.76	36.96	18.44	28.65	9.63	19.21	27.39	32.55	32.37	23.22	30.61	18.99	68
103	"GUI14"	"GUI"	42.94	40.11	28.96	32.24	19.94	44.37	31.8	25.51	30.22	31.97	32.17	26.71	33.82	32.49	70
104	"GUI15"	"GUI"	41.58	33.93	27.78	21	21.36	21.43	27.49	20.89	28.56	30	28.03	30.39	28.99	29.18	69
105	"GUI16"	"GUI"	17.96	51.77	62.34	56.94	43.07	40.37	9.81	16.44	29.7	30.06	34	34.48	33.88	17.82	70
106	"GUI17"	"GUI"	40.6	33.91	26.57	21.7	37.17	29.54	25.86	16.25	26.07	27.86	25.22	30.85	29.72	25.03	70
107	"GUI18"	"GUI"	45.39	35.7	29.49	25.23	32.22	21.55	43.99	20.8	26.11	29.56	29.26	28.22	27.34	32.66	69
108	"GUI19"	"GUI"	37.82	43.68	42.19	36.76	27.9	35.71	32.56	20.59	24.61	33.37	30.96	29.35	30.96	30.81	68
109	"GUI20"	"GUI"	21.91	56.84	59.74	57.79	59.06	38.6	13.89	20.42	29.98	32.59	32.49	34.58	31.75	20.76	70
110	"GUI21"	"GUI"	44.67	37.99	26.74	25.26	29.67	31.47	36.64	20.17	27.01	32.68	30.8	33.05	32.07	30.15	70
111	"GUI22"	"GUI"	39.71	36.94	28.94	27.6	21.25	26.96	27.34	21.64	28.95	29.98	29.85	27.62	30.6	32.96	68
112	"GUI23"	"GUI"	26.39	47.48	51.68	49.45	41	50.13	14.61	19.61	30.19	33.71	34.45	30.66	32.88	22.04	69
113	"GUI24"	"GUI"	44.84	33.01	22.38	17.75	32.65	22.26	29.26	17.51	23.96	28.57	23.62	28.48	30.44	26.48	68
114	"GUI25"	"GUI"	17.49	58.83	65.67	49.11	29.43	47.73	10.66	18.04	28.55	28.87	34.34	32.62	33.23	19.31	70
115	"GUI26"	"GUI"	23.06	54.3	64.52	44	35.91	39.17	12.72	19.38	27.12	28.73	33.75	30.54	33.4	21.88	69
116	"GUI27"	"GUI"	40.77	32.77	24.48	21.57	49.72	24.61	13.04	18.7	28.1	26.68	28.44	33.44	27.95	22.11	69
117	"GUI28"	"GUI"	19.73	47.14	56.24	37.52	31.52	33.39	7.18	16.92	30.1	33.79	34.24	30.05	32.68	13.42	66
118	"GUI29"	"GUI"	45.74	22.66	20.81	16.26	27.99	24.13	23.28	14.33	21.65	25.16	23.55	26.55	30.62	27.74	68
119	"GUI30"	"GUI"	36.03	35.99	23.88	45.59	28.64	33.59	14.58	19.14	26.71	28.54	30.09	29.95	30.81	21.87	69
120	"COM1"	"COM"	18.24	53.58	56.01	55.09	76.33	30.84	10.21	18.09	24.7	30.1	29.6	26.07	30.83	20.14	67
121	"COM2"	"COM"	25.94	51.46	45.28	54.1	64.3	34.91	15.99	17.92	28.71	32.03	32.81	31.15	29.86	21.84	69
122	"COM3"	"COM"	15.74	61.49	68.71	60.42	82.49	42.43	11.68	19.77	27.21	28.16	32.74	20.02	34.45	20.82	69
123	"COM4"	"COM"	19.29	56.14	47.47	59.1	76.56	31.5	14.04	19.19	27.89	30.28	29.88	26.19	32.87	24.66	70
124	"COM5"	"COM"	16.9	61.39	66.73	48.23	72.61	42.9	12.48	20.14	31.42	30.07	38.06	29.19	33.64	21.92	71
125	"COM6"	"COM"	14.77	63.93	69.16	67.26	71.7	51.63	14.54	16.99	24.89	28.08	27.67	25.46	30.46	23.59	70
126	"COM7"	"COM"	22.7	52.28	52	56.26	62.43	33.57	11.33	19.2	25.37	32.1	32.15	29.91	27.18	18.61	69
127	"COM8"	"COM"	23.19	52.17	51.63	43.33	76.06	29.66	11.56	19.64	28.08	33.48	35.34	27.44	27.59	17.68	70
128	"COM9"	"COM"	21.06	50.94	49.88	47.1	81.06	27.88	10.83	16.72	29.31	33.56	34.2	24.35	28.93	16.02	69
129	"COM10"	"COM"	17.13	62.22	74.45	40.96	68.12	26.29	10.94	17.49	27.29	23.99	34.82	28.47	29.57	19.42	69
130	"COM11"	"COM"	19.76	56.33	53.56	48.93	78.47	28.36	12.84	15.71	24.52	34.13	32.69	24.39	30.57	23.91	70
131	"COM12"	"COM"	24.68	48.54	49.84	58.45	72.8	36.45	10.58	18.1	31.94	33.72	33.49	28.7	33.31	16.88	69
132	"COM13"	"COM"	11.56	66.04	72.93	50.83	74.56	32.41	7.69	17.07	27.14	30.35	35.17	29.08	32.27	16.94	70
133	"COM14"	"COM"	18.23	57.64	56.96	61.45	65.72	44.39	8.59	19.01	30.52	33.72	32.97	31.35	36.08	17.07	69
134	"COM15"	"COM"	21.13	50.5	49.16	52.59	64.84	39.4	12.87	17.17	24.73	30.93	33.45	28.48	31.51	20.69	68
135	"COM16"	"COM"	13.6	63.76	62.79	62.07	70.82	40.85	9.54	16.91	28.45	32.76	31.33	28.74	33.63	19.57	67
136	"COM17"	"COM"	18.75	57.69	57.54	56.29	75.74	36.56	12.56	18.56	25.98	32.93	31.06	25.64	32.8	22.31	68
137	"COM18"	"COM"	20.48	44.94	41.04	52.77	72.09	23.81	7.25	16.86	28.15	33.13	33.53	27.31	28.51	15.52	69
138	"COM19"	"COM"	17.07	57.39	63.04	55.15	79.24	41.04	12.15	15	25.67	27.99	29.66	23.76	33.37	18.74	67
139	"COM20"	"COM"	30.21	42.04	42.76	40.29	56.79	21.64	9.77	20.78	27.68	32.84	33.03	32.48	26.28	19.91	70
140	"COM21"	"COM"	24.06	46.13	47.93	55.15	59.46	44.75	17.62	20.68	28.06	34.57	31.27	31.15	32.19	23.5	71
141	"COM22"	"COM"	14.34	62	66.63	60.84	78.76	56.34	11.56	18.17	26.61	30.07	33.82	24.05	35.03	19.96	68
142	"COM23"	"COM"	29.93	45.45	42.07	46.8	69.99	31.71	14.01	19.89	24.93	31.86	32.68	26.86	32.56	23.8	69
143	"COM24"	"COM"	17.72	52.73	55.51	53.37	68.79	39.76	9.12	19.28	28.7	31.57	30.92	27.07	35.18	16.03	67
144	"COM25"	"COM"	21.73	52.76	59.82	54.98	58.03	40.83	9.05	17.82	29.55	31.61	31.98	29.87	29.83	18.34	66
145	"COM26"	"COM"	9.52	79.86	70.93	74.41	85.77	43.09	9.04	16.2	23.79	31.11	30.06	21.79	36.15	17.58	69
146	"COM27"	"COM"	12.75	65.43	56.9	42.81	85.77	23.93	6.01	16.11	30.01	36.28	38.52	21.37	31.64	14.3	69
147	"COM28"	"COM"	33.78	37.25	38.06	42.31	66.72	25.5	13.57	19.97	26.2	30.83	31.42	26.18	30.28	22.34	68
148	"COM29"	"COM"	20.07	54.46	35.84	53.55	74.03	22.04	12.64	17.64	25.53	30.3	31.54	25.09	25.17	20.14	69
149	"COM30"	"COM"	15.63	68.76	58.2	53.74	81.39	28.23	11.14	21.86	28.36	34.28	34.97	26.68	30.44	20.7	70
150	"NEU1"	"NEU"	52.22	17.7	10.58	12.04	11.97	9.58	13.72	14.56	24.44	20.57	22.22	22.34	18.91	23.04	69
151	"NEU2"	"NEU"	53.36	9.2	5.88	6.88	7.03	5.7	7.7	12.29	16.51	15.31	16.77	17.06	16.04	18.16	69
152	"NEU3"	"NEU"	57.91	13.44	5.84	6.97	10.1	6.34	23.86	17.03	20.94	16.77	18.47	23.04	17.93	30.79	70
153	"NEU4"	"NEU"	50.52	8.96	4.43	4.41	4.77	4.39	7.42	9.44	17.27	13.24	13.15	12.99	13.38	16.94	69
154	"NEU5"	"NEU"	51.35	15.53	6.71	7.03	7.65	6.9	15.75	12.36	23.49	15.56	16.38	16.89	16.57	24.42	68
155	"NEU6"	"NEU"	49.51	14.79	7.57	12.58	10.22	7.46	9.72	10.53	21.73	17.12	23.24	19.26	17.67	19.82	67
156	"NEU7"	"NEU"	53.37	13.66	10.43	8.85	10.75	10.24	15.38	14.2	21.02	21.09	18.32	20.64	19.86	24.79	68
157	"NEU8"	"NEU"	62.34	21.99	7.01	9.55	14	8.3	32.49	20.27	25.29	17.06	19.53	24.62	17.02	33.85	67
158	"NEU9"	"NEU"	47.58	8.77	5.52	9.61	11.29	5.18	5.14	8.42	15.79	14.88	19.51	17.72	12.83	13.34	66
159	"NEU10"	"NEU"	53.07	8.97	4.8	7.2	5	4.96	8.87	11.96	14.68	13.93	15.45	13.33	12.07	20.27	69
160	"NEU11"	"NEU"	49.46	17.6	16.49	12.93	15.84	14.46	12.74	11.67	24.56	27.13	20.68	27.15	23.12	22.34	68
161	"NEU12"	"NEU"	54.42	20.8	10.2	10.1	12.03	9.83	23.29	12.09	26.88	21.05	21	22.12	20.07	29.5	69
162	"NEU13"	"NEU"	48.63	17.16	14.03	9	10.03	11.13	13.21	15.43	23.67	23.23	17.51	19.12	19.04	22.62	68
163	"NEU14"	"NEU"	59.82	15.1	7.09	8.1	9.34	8.9	25.27	23.19	21.22	18.7	18.73	20.45	19.05	31.22	67
164	"NEU15"	"NEU"	49.88	12.09	9.15	8	16.69	7.68	9.07	12.97	20.11	18.81	16.47	24.92	16.53	18.3	68
165	"NEU16"	"NEU"	50.7	5.9	4.97	3.67	6.1	4.35	7.17	9.25	12.59	12.27	9.74	16.71	12.81	15.96	69
166	"NEU17"	"NEU"	54.28	14.01	5.96	6.51	7.75	4.4	12.9	16.41	22.64	15.46	18.01	16.82	13.72	20.57	67
167	"NEU18"	"NEU"	60.12	20.94	5.48	6.44	7.79	3.09	17.77	20.67	24.82	13.75	17.56	18.27	9.19	23.68	66
168	"NEU19"	"NEU"	63.72	25.7	9.07	7.84	11.13	8.93	30.09	17.49	28.07	18.97	15.86	21.97	18.98	31.14	67
169	"NEU20"	"NEU"	51.79	21.16	12.99	12.76	20.09	13.1	12.78	17.54	23.64	19.36	24.06	26.48	23.68	20.84	67
170	"NEU21"	"NEU"	52.81	9.97	5.12	5.12	8.49	5.96	13.03	8.76	18.57	13.48	13.19	20.96	14.04	24.8	68
171	"NEU22"	"NEU"	53.87	9.2	5.23	4.84	6	3.72	12.13	15.25	17.44	14.58	13.04	15.58	11.89	24.8	69
172	"NEU23"	"NEU"	45.91	16.58	13.18	9.18	22.87	8.52	8.39	10.21	23.24	21.75	18.37	25.72	18.31	19.71	67
173	"NEU24"	"NEU"	52.5	18.6	9.53	9.47	13.59	8.01	18.13	16.53	25.29	21.19	18.45	24.1	17.05	27.86	68
174	"NEU25"	"NEU"	51.3	9.21	4.53	4.89	6.86	4.92	10.61	10.97	18.94	14.14	14.71	16.27	15.2	20.16	66
175	"NEU26"	"NEU"	57.23	16.28	4.29	5.83	6.72	4.06	17.58	15.54	24.31	13.29	13.11	18.48	11.55	28.31	69
176	"NEU27"	"NEU"	48.29	10.76	9.25	8.87	7.04	7.72	9.66	10.19	18.93	18.53	18.75	15.77	18.54	19.23	68
177	"NEU28"	"NEU"	47.97	17.85	16.19	15.34	15.79	10.81	13.43	10.98	23.84	22.53	23.15	21.03	19.38	20.62	68
178	"NEU29"	"NEU"	48.91	10.12	6.71	5.47	6.41	5.51	7.03	7.59	19.02	16.24	13.25	15.58	12.87	17.31	68
179	"NEU30"	"NEU"	54.56	15.83	8.5	7.34	8.93	8.63	19.39	11.76	23.47	17.33	15.9	17.5	17.24	27.78	70
