"ord"	"code"	"category"	"M.Valence"	"M.Arousal"	"M.Anger"	"M.Anxiety"	"M.Compassion"	"M.Guilt"	"M.Hope"	"SD.Valence"	"SD.Arousal"	"SD.Anger"	"SD.Anxiety"	"SD.Compassion"	"SD.Guilt"	"SD.Hope"	"n"
126	"COM7"	"COM"	35.14	60.83	57.72	59.75	66.67	47.33	40.11	26.47	29.4	28.55	30.78	25.73	32.42	31.72	36
127	"COM8"	"COM"	32.7	61.45	59.73	52.15	73.03	40.03	31.76	26.19	22.27	23.44	25.66	24.68	32.1	26.26	33
128	"COM9"	"COM"	30.26	58.17	57.6	42.49	72.89	32.23	33.17	24.12	23.58	29.76	27.7	25.66	26.03	28.04	35
129	"COM10"	"COM"	30.65	63.82	70.29	54.06	68.82	40	28.53	28.55	23.33	25.07	30.74	28.36	29.57	28.83	34
130	"COM11"	"COM"	35.94	64.57	57.89	57.97	70	44.17	41.14	28.32	17.94	28.17	27.37	26.39	26.93	30.68	35
131	"COM12"	"COM"	42.12	61.56	58.56	62.5	74.28	49.88	45.03	29.82	22.28	27.55	22.18	19.68	25.29	30.66	32
132	"COM13"	"COM"	32	56.36	64.88	44.52	59.76	38.36	23.36	26.21	25.16	27.23	27.47	29.62	27.37	24.55	33
133	"COM14"	"COM"	33.97	57.43	62.54	62.86	64.77	49.51	39.34	26.87	26.8	29.28	27.38	25.98	26.59	25.88	35
134	"COM15"	"COM"	40.61	58.42	59.7	59.91	63.12	53.61	41.33	26.82	23.52	22.6	23.81	20.74	25.25	26.03	33
135	"COM16"	"COM"	33.7	54.94	63.88	53.06	69.58	44.97	38.76	24.8	25.91	23.32	26.11	22.56	28.84	29.91	33
136	"COM17"	"COM"	33.09	58.69	50.8	60.34	63.91	52.57	35.86	26.87	24.65	30.74	26.93	30.95	29.33	28.18	35
137	"COM18"	"COM"	31	59.88	53.48	60.82	69.76	36.97	33.97	26.3	25.25	32.18	28.34	26.43	29.36	29.88	33
138	"COM19"	"COM"	35.26	64.03	64.91	61.88	74.21	52.41	38.32	31.68	29.43	28.42	27.18	23.44	31.13	31.19	34
139	"COM20"	"COM"	34.61	62.87	55.9	66.42	66.16	42.03	35.81	28.41	27.69	30.15	26.66	26.21	27.75	29.86	31
140	"COM21"	"COM"	47.21	54.55	51.27	49.3	55.64	38.91	43.85	26.86	27.14	26.89	30.3	30.76	30.75	29.32	33
141	"COM22"	"COM"	27.36	66.64	67.25	61.33	67.78	53.5	36.94	23.18	22.17	24.11	28.28	26.65	30.19	30.42	36
142	"COM23"	"COM"	41.91	54.22	47.12	52.59	60.31	39.78	35.72	24.39	23.54	28.44	29.4	27.67	27.9	26.09	32
143	"COM24"	"COM"	36.74	52.47	44.71	53.62	59.24	45.26	34.29	29.39	33.21	34.63	33.48	32.27	32.69	29.8	34
144	"COM25"	"COM"	35.82	55.65	58.41	53.35	63.18	41.65	29.41	24.13	25.4	27.43	27.32	25.98	30.56	24.54	34
145	"COM26"	"COM"	29.62	73.94	66.06	72.24	78.71	53.47	38.56	29.62	22.68	28.22	24.85	20.63	31.2	35.3	34
146	"COM27"	"COM"	31.21	64.68	58.03	52.76	76.38	38.18	29.62	25.31	23.09	26.46	28.24	21.72	27.14	24.69	34
147	"COM28"	"COM"	48.66	48.63	45.6	52.77	58.77	42.03	38.63	25.59	30.47	29.56	29.7	27.58	30.65	28.08	35
148	"COM29"	"COM"	33.15	59.41	46.29	54.24	69.97	39.59	36.56	26.16	26.64	29.44	26.79	21.59	30.55	30.5	34
149	"COM30"	"COM"	24.09	64.69	69.43	66.6	82.43	47.6	32.06	28.54	28.99	28.56	29.8	21.07	36.56	34.74	35
150	"NEU1"	"NEU"	56.97	36.43	23.51	24.37	22.06	26.2	28.14	15.04	26.97	25.04	26.22	23.1	26.97	29.66	35
151	"NEU2"	"NEU"	51.3	37.42	28.73	29.33	34.33	27.21	32.42	20.19	24.76	26.31	27.6	28.28	25.46	25.84	33
152	"NEU3"	"NEU"	62.69	39.77	25.54	23.2	32.09	25.09	50.6	19.87	31.43	29.59	27.43	31.62	28.36	34.76	35
153	"NEU4"	"NEU"	51.65	28.38	24.5	26.12	25.85	22.88	30.29	15.96	27.24	29.18	28.52	27.81	26.94	30.78	34
154	"NEU5"	"NEU"	53.51	30.14	21.37	20.06	21.31	17.8	31.97	21.61	31.15	27.04	26.18	24.07	22.36	31.15	35
155	"NEU6"	"NEU"	61.76	41.74	31.91	34.76	36.91	28.18	45.26	20.22	27.01	28.91	27.04	27.01	27.22	30.38	34
156	"NEU7"	"NEU"	54.4	34.6	29.26	25.77	31.34	28.31	40.66	17.31	28.1	26.23	23.65	26.44	24.75	29.08	35
157	"NEU8"	"NEU"	63.59	48.74	25.06	28.44	32.85	32.35	53.18	23.29	29.82	21.43	23.88	25.97	25.2	29.21	34
158	"NEU9"	"NEU"	51.26	30.69	21.91	26.23	30.89	24.86	27.34	16.5	23.4	22.47	24.01	26.12	22.34	25.79	35
159	"NEU10"	"NEU"	57.36	39.39	25.7	25.09	26.03	23.45	39.85	19.48	26.2	29.27	24.42	27.11	27.3	31.24	33
160	"NEU11"	"NEU"	52.76	35.65	23.94	23.24	26.5	23.12	36.24	16.11	23.63	24.77	23.46	23.85	26.14	28.64	34
161	"NEU12"	"NEU"	61.31	45.06	29.94	34.11	29.66	33.29	46.63	27.22	32.02	29.75	32.89	28.51	30.65	33.44	35
162	"NEU13"	"NEU"	51.21	33.29	32.82	28.53	36.03	31.15	34.59	14.57	23.6	24.63	22.48	24.66	26.96	25.6	34
163	"NEU14"	"NEU"	65.03	47.6	29.74	28.74	30.8	28.8	51.97	21.96	31.05	30.02	30.52	31.33	30.84	33.04	35
164	"NEU15"	"NEU"	56.97	41.36	25.3	25.48	43.7	29.06	39.79	20.95	29.67	28.66	27.77	32.13	29.92	31.33	33
165	"NEU16"	"NEU"	60	42.14	22.86	25.66	32.86	27.29	45.23	23.08	32.88	25.79	27.96	31.35	29.04	35.5	35
166	"NEU17"	"NEU"	62.86	42.34	33.09	29.83	30.49	30.6	43.94	26.06	34.37	32.06	31.89	27.41	29.97	34.77	35
167	"NEU18"	"NEU"	64.92	43.67	27	29.25	27.86	28.03	46.97	23.11	29.78	31.06	32.62	28.74	31.8	30.33	36
168	"NEU19"	"NEU"	64.09	44.03	32	26.12	36.39	28.3	47.12	21.25	26.52	26.95	25.56	28.43	25.89	29.47	33
169	"NEU20"	"NEU"	56	34.06	28.76	26.27	34.88	23.88	33.27	20.99	26.88	29.29	25.33	26.95	23.6	26.81	33
170	"NEU21"	"NEU"	55.31	38.56	27.36	25.08	33.61	27.17	39.5	15.23	26.4	23.44	22.7	25.33	24.54	30	36
171	"NEU22"	"NEU"	57.5	41.15	32.44	31.68	32.44	31.21	39.26	18.86	30.14	30.16	29.18	28.35	28.22	32.54	34
172	"NEU23"	"NEU"	48.18	36.36	34.45	26.09	42.3	24.55	29.18	19.67	23.22	30.08	25.96	27.64	25.02	32.64	33
173	"NEU24"	"NEU"	59.83	39.03	24.72	24.64	34.69	25.53	35.19	16.02	23.22	24.4	24.98	27.33	24.71	27.66	36
174	"NEU25"	"NEU"	56.63	35.66	22.66	25.31	27	22.43	30.54	17.25	28.35	27.59	29.55	29.58	28.08	32.17	35
175	"NEU26"	"NEU"	64.85	38.09	24.41	25.41	24.65	21.79	40.35	19.81	29.02	30.55	26.93	27	26.34	34.35	34
176	"NEU27"	"NEU"	51.47	30.33	22.58	23.17	23.72	19.94	26.5	13.58	25.91	28.05	26.13	27.1	24.69	29.42	36
177	"NEU28"	"NEU"	50.29	36.97	33.2	31.91	35.71	25.97	32.37	17.24	27.96	28.4	26.8	29.86	26.98	29.97	35
178	"NEU29"	"NEU"	60.15	41.21	41.38	40.44	44.71	42.09	43.68	17.68	27.02	28.31	29.39	26.59	26.59	27.92	34
179	"NEU30"	"NEU"	56.91	29.72	17.25	19.81	19	19.5	35.97	18.44	28.01	21.38	22.89	23.83	22.78	31.38	32
