 sid  |   code   | stid |   name    | ord |     val      
 5016 | r1t7hhY9 |   13 | demo-1-pl |   7 | 1
 5016 | r1t7hhY9 |   13 | demo-1-pl |   8 | 1
 5016 | r1t7hhY9 |   13 | demo-1-pl |   9 | 0
 5016 | r1t7hhY9 |   13 | demo-1-pl |  10 | 5
 5017 | r1tkLQvn |   13 | demo-1-pl |   0 | 0
 5017 | r1tkLQvn |   13 | demo-1-pl |   2 | 1960
 5017 | r1tkLQvn |   13 | demo-1-pl |   3 | 4
 5017 | r1tkLQvn |   13 | demo-1-pl |   4 | 7
 5017 | r1tkLQvn |   13 | demo-1-pl |   6 | 0
 5017 | r1tkLQvn |   13 | demo-1-pl |   7 | 1
 5017 | r1tkLQvn |   13 | demo-1-pl |   8 | 1
 5017 | r1tkLQvn |   13 | demo-1-pl |   9 | 0
 5017 | r1tkLQvn |   13 | demo-1-pl |  10 | 5
 5018 | r1tTucFZ |   13 | demo-1-pl |   0 | 1
 5018 | r1tTucFZ |   13 | demo-1-pl |   2 | 1988
 5018 | r1tTucFZ |   13 | demo-1-pl |   3 | 4
 5018 | r1tTucFZ |   13 | demo-1-pl |   4 | 6
 5018 | r1tTucFZ |   13 | demo-1-pl |   6 | 1
 5018 | r1tTucFZ |   13 | demo-1-pl |   7 | 0
 5018 | r1tTucFZ |   13 | demo-1-pl |   8 | 1
 5018 | r1tTucFZ |   13 | demo-1-pl |   9 | 0
 5018 | r1tTucFZ |   13 | demo-1-pl |  10 | 5
 5020 | r1t7haNt |   13 | demo-1-pl |   0 | 0
 5020 | r1t7haNt |   13 | demo-1-pl |   2 | 1984
 5020 | r1t7haNt |   13 | demo-1-pl |   3 | 0
 5020 | r1t7haNt |   13 | demo-1-pl |   4 | 5
 5020 | r1t7haNt |   13 | demo-1-pl |   6 | 0
 5020 | r1t7haNt |   13 | demo-1-pl |   7 | 1
 5020 | r1t7haNt |   13 | demo-1-pl |   8 | 1
 5020 | r1t7haNt |   13 | demo-1-pl |   9 | 0
 5020 | r1t7haNt |   13 | demo-1-pl |  10 | 3
 5021 | r1t5Xy5v |   13 | demo-1-pl |   0 | 0
 5021 | r1t5Xy5v |   13 | demo-1-pl |   2 | 1990
 5021 | r1t5Xy5v |   13 | demo-1-pl |   3 | 3
 5021 | r1t5Xy5v |   13 | demo-1-pl |   4 | 4
 5021 | r1t5Xy5v |   13 | demo-1-pl |   6 | 0
 5021 | r1t5Xy5v |   13 | demo-1-pl |   7 | 1
 5021 | r1t5Xy5v |   13 | demo-1-pl |   8 | 1
 5021 | r1t5Xy5v |   13 | demo-1-pl |   9 | 0
 5021 | r1t5Xy5v |   13 | demo-1-pl |  10 | 4
 5022 | r1tqDQW3 |   13 | demo-1-pl |   0 | 0
 5022 | r1tqDQW3 |   13 | demo-1-pl |   2 | 1994
 5022 | r1tqDQW3 |   13 | demo-1-pl |   3 | 4
 5022 | r1tqDQW3 |   13 | demo-1-pl |   4 | 4
 5022 | r1tqDQW3 |   13 | demo-1-pl |   6 | 0
 5022 | r1tqDQW3 |   13 | demo-1-pl |   7 | 1
 5022 | r1tqDQW3 |   13 | demo-1-pl |   8 | 1
 5022 | r1tqDQW3 |   13 | demo-1-pl |   9 | 0
 5022 | r1tqDQW3 |   13 | demo-1-pl |  10 | 5
 5023 | r1tNvmvx |   13 | demo-1-pl |   0 | 0
 5023 | r1tNvmvx |   13 | demo-1-pl |   2 | 1978
 5023 | r1tNvmvx |   13 | demo-1-pl |   3 | 1
 5023 | r1tNvmvx |   13 | demo-1-pl |   4 | 6
 5023 | r1tNvmvx |   13 | demo-1-pl |   6 | 0
 5023 | r1tNvmvx |   13 | demo-1-pl |   7 | 1
 5023 | r1tNvmvx |   13 | demo-1-pl |   8 | 1
 5023 | r1tNvmvx |   13 | demo-1-pl |   9 | 0
 5023 | r1tNvmvx |   13 | demo-1-pl |  10 | 4
 5024 | r1t3i9Sj |   13 | demo-1-pl |   0 | 0
 5024 | r1t3i9Sj |   13 | demo-1-pl |   2 | 1964
 5024 | r1t3i9Sj |   13 | demo-1-pl |   3 | 4
 5024 | r1t3i9Sj |   13 | demo-1-pl |   4 | 6
 5024 | r1t3i9Sj |   13 | demo-1-pl |   6 | 0
 5024 | r1t3i9Sj |   13 | demo-1-pl |   7 | 1
 5024 | r1t3i9Sj |   13 | demo-1-pl |   8 | 1
 5024 | r1t3i9Sj |   13 | demo-1-pl |   9 | 1
 5024 | r1t3i9Sj |   13 | demo-1-pl |  10 | 3
 5025 | r1trayET |   13 | demo-1-pl |   0 | 0
 5025 | r1trayET |   13 | demo-1-pl |   2 | 1992
 5025 | r1trayET |   13 | demo-1-pl |   3 | 4
 5025 | r1trayET |   13 | demo-1-pl |   4 | 6
 5025 | r1trayET |   13 | demo-1-pl |   6 | 1
 5025 | r1trayET |   13 | demo-1-pl |   7 | 1
 5025 | r1trayET |   13 | demo-1-pl |   8 | 1
 5025 | r1trayET |   13 | demo-1-pl |   9 | 0
 5025 | r1trayET |   13 | demo-1-pl |  10 | 4
 5026 | r1tM8jwj |   13 | demo-1-pl |   0 | 0
 5026 | r1tM8jwj |   13 | demo-1-pl |   2 | 1984
 5026 | r1tM8jwj |   13 | demo-1-pl |   3 | 4
 5026 | r1tM8jwj |   13 | demo-1-pl |   4 | 6
 5026 | r1tM8jwj |   13 | demo-1-pl |   6 | 0
